query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,temporal_reference_dataset,temporal_reference_frame_count,temporal_reference_frame_path,temporal_rank,temporal_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,temporal_position_error_m
v14,3088,data/processed/frames_v14_1fps/frame_000104.jpg,v11,840,7.317045880569932,v11,900,data/processed/frames_v11_1fps/frame_000031.jpg,6,0.8890309929847717,171,127,0.7426900584795322,9.930844112785937
v14,3118,data/processed/frames_v14_1fps/frame_000105.jpg,v11,840,7.016118470885027,v11,870,data/processed/frames_v11_1fps/frame_000030.jpg,4,0.9102758169174194,188,130,0.6914893617021277,8.266403415725945
v14,3148,data/processed/frames_v14_1fps/frame_000106.jpg,v11,810,4.982426787562869,v11,840,data/processed/frames_v11_1fps/frame_000029.jpg,4,0.8968579769134521,146,101,0.6917808219178082,5.508061813479488
v14,3178,data/processed/frames_v14_1fps/frame_000107.jpg,v11,810,4.359787477038696,v12,7374,data/processed/frames_v12_1fps/frame_000247.jpg,4,0.8852732181549072,163,100,0.6134969325153374,3.568768535421588
v14,3208,data/processed/frames_v14_1fps/frame_000108.jpg,v11,780,5.172356192284343,v11,780,data/processed/frames_v11_1fps/frame_000027.jpg,1,0.9208734631538391,158,98,0.620253164556962,5.172356192284343
v14,3238,data/processed/frames_v14_1fps/frame_000109.jpg,v11,780,5.783754396730853,v11,810,data/processed/frames_v11_1fps/frame_000028.jpg,3,0.9283219575881958,146,98,0.6712328767123288,5.625992531731788
v14,3268,data/processed/frames_v14_1fps/frame_000110.jpg,v12,7344,4.44728939517907,v12,7344,data/processed/frames_v12_1fps/frame_000246.jpg,1,0.8845785856246948,180,105,0.5833333333333334,4.44728939517907
v14,3298,data/processed/frames_v14_1fps/frame_000111.jpg,v12,7614,1.994319364439724,v12,7344,data/processed/frames_v12_1fps/frame_000246.jpg,7,0.8277692794799805,87,41,0.47126436781609193,4.261549136924053
v14,3328,data/processed/frames_v14_1fps/frame_000112.jpg,v12,7644,2.3838446048848523,v12,7614,data/processed/frames_v12_1fps/frame_000255.jpg,3,0.8557859659194946,79,32,0.4050632911392405,2.56115986355613
v14,3358,data/processed/frames_v14_1fps/frame_000113.jpg,v12,7674,2.6572229294220175,v12,7614,data/processed/frames_v12_1fps/frame_000255.jpg,3,0.8544716835021973,75,37,0.49333333333333335,2.7498513211937783
v14,3388,data/processed/frames_v14_1fps/frame_000114.jpg,v12,7674,3.0020266331418632,v12,7314,data/processed/frames_v12_1fps/frame_000245.jpg,9,0.6883803606033325,44,26,0.5909090909090909,4.358725608847517
